 x, y, z, pressure, velmag, vx, vy, vz
  0.3226,   0.8065,   0.0000,   0.8812,  1.09996,  1.09629, -0.08987,  0.00000
  0.3226,   0.8387,   0.0000,   0.8856,  1.06723,  1.06317, -0.09311,  0.00000
  0.3226,   0.8710,   0.0000,   0.8909,  1.00939,  1.00519, -0.09206,  0.00000
  0.3226,   0.9032,   0.0000,   0.8973,  0.91116,  0.90720, -0.08485,  0.00000
  0.3226,   0.9355,   0.0000,   0.9050,  0.74687,  0.74368, -0.06904,  0.00000
  0.3226,   0.9677,   0.0000,   0.9132,  0.47126,  0.46941, -0.04174,  0.00000
  0.3226,   1.0000,   0.0000,   0.9172,  0.00000,  0.00000,  0.00000,  0.00000
  0.6452,   0.0000,   0.0000,   0.7177,  0.00000,  0.00000,  0.00000,  0.00000
  0.6452,   0.0323,   0.0000,   0.7192,  0.30969,  0.30959,  0.00810,  0.00000
  0.6452,   0.0645,   0.0000,   0.7223,  0.56924,  0.56885,  0.02107,  0.00000
  0.6452,   0.0968,   0.0000,   0.7255,  0.77051,  0.76979,  0.03350,  0.00000
  0.6452,   0.1290,   0.0000,   0.7288,  0.91844,  0.91743,  0.04311,  0.00000
  0.6452,   0.1613,   0.0000,   0.7322,  1.02308,  1.02189,  0.04929,  0.00000
  0.6452,   0.1935,   0.0000,   0.7354,  1.09473,  1.09348,  0.05216,  0.00000
  0.6452,   0.2258,   0.0000,   0.7385,  1.14215,  1.14096,  0.05219,  0.00000
  0.6452,   0.2581,   0.0000,   0.7412,  1.17230,  1.17124,  0.04992,  0.00000
  0.6452,   0.2903,   0.0000,   0.7436,  1.19047,  1.18958,  0.04588,  0.00000
  0.6452,   0.3226,   0.0000,   0.7456,  1.20059,  1.19991,  0.04050,  0.00000
  0.6452,   0.3548,   0.0000,   0.7473,  1.20557,  1.20509,  0.03416,  0.00000
  0.6452,   0.3871,   0.0000,   0.7486,  1.20749,  1.20719,  0.02714,  0.00000
  0.6452,   0.4194,   0.0000,   0.7496,  1.20782,  1.20766,  0.01967,  0.00000
  0.6452,   0.4516,   0.0000,   0.7503,  1.20753,  1.20747,  0.01190,  0.00000
  0.6452,   0.4839,   0.0000,   0.7507,  1.20724,  1.20724,  0.00398,  0.00000
  0.6452,   0.5161,   0.0000,   0.7507,  1.20724,  1.20724, -0.00399,  0.00000
  0.6452,   0.5484,   0.0000,   0.7503,  1.20753,  1.20747, -0.01190,  0.00000
  0.6452,   0.5806,   0.0000,   0.7496,  1.20782,  1.20766, -0.01967,  0.00000
  0.6452,   0.6129,   0.0000,   0.7486,  1.20749,  1.20719, -0.02714,  0.00000
  0.6452,   0.6452,   0.0000,   0.7473,  1.20557,  1.20509, -0.03416,  0.00000
  0.6452,   0.6774,   0.0000,   0.7456,  1.20059,  1.19991, -0.04050,  0.00000
  0.6452,   0.7097,   0.0000,   0.7436,  1.19047,  1.18958, -0.04588,  0.00000
  0.6452,   0.7419,   0.0000,   0.7412,  1.17230,  1.17124, -0.04992,  0.00000
  0.6452,   0.7742,   0.0000,   0.7385,  1.14215,  1.14096, -0.05219,  0.00000
  0.6452,   0.8065,   0.0000,   0.7354,  1.09473,  1.09348, -0.05216,  0.00000
  0.6452,   0.8387,   0.0000,   0.7322,  1.02308,  1.02189, -0.04929,  0.00000
  0.6452,   0.8710,   0.0000,   0.7288,  0.91844,  0.91743, -0.04311,  0.00000
  0.6452,   0.9032,   0.0000,   0.7255,  0.77051,  0.76979, -0.03350,  0.00000
  0.6452,   0.9355,   0.0000,   0.7223,  0.56924,  0.56885, -0.02107,  0.00000
  0.6452,   0.9677,   0.0000,   0.7192,  0.30969,  0.30959, -0.00810,  0.00000
  0.6452,   1.0000,   0.0000,   0.7177,  0.00000,  0.00000,  0.00000,  0.00000
  0.9677,   0.0000,   0.0000,   0.6346,  0.00000,  0.00000,  0.00000,  0.00000
  0.9677,   0.0323,   0.0000,   0.6352,  0.25871,  0.25870,  0.00210,  0.00000
  0.9677,   0.0645,   0.0000,   0.6363,  0.48971,  0.48966,  0.00735,  0.00000
  0.9677,   0.0968,   0.0000,   0.6376,  0.68692,  0.68677,  0.01397,  0.00000
  0.9677,   0.1290,   0.0000,   0.6391,  0.84755,  0.84731,  0.02040,  0.00000
  0.9677,   0.1613,   0.0000,   0.6408,  0.97306,  0.97272,  0.02563,  0.00000
  0.9677,   0.1935,   0.0000,   0.6426,  1.06766,  1.06726,  0.02915,  0.00000
  0.9677,   0.2258,   0.0000,   0.6445,  1.13669,  1.13627,  0.03087,  0.00000
  0.9677,   0.2581,   0.0000,   0.6463,  1.18551,  1.18511,  0.03087,  0.00000
  0.9677,   0.2903,   0.0000,   0.6481,  1.21895,  1.21859,  0.02939,  0.00000
  0.9677,   0.3226,   0.0000,   0.6496,  1.24104,  1.24075,  0.02668,  0.00000
  0.9677,   0.3548,   0.0000,   0.6510,  1.25505,  1.25484,  0.02299,  0.00000
  0.9677,   0.3871,   0.0000,   0.6521,  1.26351,  1.26338,  0.01857,  0.00000
  0.9677,   0.4194,   0.0000,   0.6530,  1.26833,  1.26826,  0.01362,  0.00000
  0.9677,   0.4516,   0.0000,   0.6536,  1.27084,  1.27081,  0.00831,  0.00000
  0.9677,   0.4839,   0.0000,   0.6539,  1.27188,  1.27188,  0.00279,  0.00000
  0.9677,   0.5161,   0.0000,   0.6539,  1.27188,  1.27188, -0.00279,  0.00000
  0.9677,   0.5484,   0.0000,   0.6536,  1.27084,  1.27081, -0.00831,  0.00000
  0.9677,   0.5806,   0.0000,   0.6530,  1.26833,  1.26826, -0.01362,  0.00000
  0.9677,   0.6129,   0.0000,   0.6521,  1.26351,  1.26338, -0.01857,  0.00000
  0.9677,   0.6452,   0.0000,   0.6510,  1.25505,  1.25484, -0.02299,  0.00000
  0.9677,   0.6774,   0.0000,   0.6496,  1.24104,  1.24075, -0.02668,  0.00000
  0.9677,   0.7097,   0.0000,   0.6481,  1.21895,  1.21859, -0.02939,  0.00000
  0.9677,   0.7419,   0.0000,   0.6463,  1.18551,  1.18511, -0.03087,  0.00000
  0.9677,   0.7742,   0.0000,   0.6445,  1.13669,  1.13627, -0.03087,  0.00000
  0.9677,   0.8065,   0.0000,   0.6426,  1.06766,  1.06726, -0.02915,  0.00000
  0.9677,   0.8387,   0.0000,   0.6408,  0.97306,  0.97272, -0.02563,  0.00000
  0.9677,   0.8710,   0.0000,   0.6391,  0.84755,  0.84731, -0.02040,  0.00000
  0.9677,   0.9032,   0.0000,   0.6376,  0.68692,  0.68677, -0.01397,  0.00000
  0.9677,   0.9355,   0.0000,   0.6363,  0.48971,  0.48966, -0.00735,  0.00000
  0.9677,   0.9677,   0.0000,   0.6352,  0.25871,  0.25870, -0.00210,  0.00000
  0.9677,   1.0000,   0.0000,   0.6346,  0.00000,  0.00000,  0.00000,  0.00000
  1.2903,   0.0000,   0.0000,   0.5686,  0.00000,  0.00000,  0.00000,  0.00000
  1.2903,   0.0323,   0.0000,   0.5688,  0.23610,  0.23609,  0.00096,  0.00000
  1.2903,   0.0645,   0.0000,   0.5694,  0.45019,  0.45018,  0.00356,  0.00000
  1.2903,   0.0968,   0.0000,   0.5699,  0.63929,  0.63925,  0.00724,  0.00000
  1.2903,   0.1290,   0.0000,   0.5705,  0.80096,  0.80088,  0.01128,  0.00000
  1.2903,   0.1613,   0.0000,   0.5712,  0.93450,  0.93438,  0.01500,  0.00000
  1.2903,   0.1935,   0.0000,   0.5720,  1.04124,  1.04109,  0.01793,  0.00000
  1.2903,   0.2258,   0.0000,   0.5728,  1.12395,  1.12377,  0.01980,  0.00000
  1.2903,   0.2581,   0.0000,   0.5737,  1.18618,  1.18600,  0.02050,  0.00000
